seed,n_outliers,Oracle,Naive,ratio,ratio_clean_kept,ratio_outliers_left,ratio_stopped,readmit,readmit_clean_kept,readmit_outliers_left,readmit_stopped
110,106,0.029177220324308716,0.21518279794567027,0.02559845245511625,810,0,True,0.029491705685260997,891,0,False
111,103,0.024105032481692275,0.20321435416479453,0.02322697418134692,810,0,True,0.024576655842421243,895,0,True
112,98,0.017087008618303146,0.26893181339507977,0.017098794568067954,810,0,True,0.015402551743584245,899,0,True
113,83,0.01226372419703331,0.2258435308566741,0.014959081655719356,810,0,True,0.011200972783707883,910,0,True
114,125,0.02123986536554438,0.32763270470925066,0.018809519018083504,810,0,True,0.014885540329431311,869,0,True
115,108,0.027163449973541486,0.16113585538751826,0.0300056308341308,810,0,True,0.02745220932587133,890,0,True
116,85,0.0052460701527080955,0.20416157640820806,0.012760330964417397,900,0,True,0.004687136994728539,914,0,True
117,103,0.016999169625108966,0.20680498715007192,0.03126221545660873,810,0,True,0.015559769748733989,892,1,True
118,111,0.010147815503470685,0.33443576098196115,0.018722482210187196,810,0,True,0.010045723367915631,887,0,True
119,86,0.022006060012991092,0.08500115989997113,0.021564319207269176,809,1,True,0.020995382085303712,911,1,True
120,100,0.027324533579705847,0.19621902291273105,0.031791166578450034,810,0,True,0.029086439353177236,895,0,False
121,103,0.02342700598920357,0.3017724780522173,0.02176320200573417,809,1,True,0.026393370468780774,895,1,True
122,96,0.011002486249456232,0.25218334635909917,0.013771332883524553,810,0,True,0.012951392205533261,900,0,True
123,82,0.020839102207836645,0.23448186415988875,0.01383702423225057,810,0,True,0.02007481383527507,917,0,True
124,92,0.011479534020762313,0.18065300382719152,0.02377344258404255,810,0,True,0.014139625556938557,905,0,True
125,96,0.010877499652293779,0.19955444988553192,0.013445217101212296,810,0,True,0.008331073796318306,902,0,True
126,95,0.022787572189528038,0.3914965304896418,0.031367212237827916,810,0,True,0.019737015247182205,902,0,True
127,104,0.013371204805553696,0.25117039143828784,0.006586739858337749,810,0,True,0.01173205871713918,893,1,True
128,99,0.011204669598163412,0.2323030645781286,0.013718252314839747,810,0,True,0.012756812354384082,896,0,True
129,116,0.03396997124244429,0.28784155247542303,0.0491126123180459,810,0,True,0.03252677428457177,883,0,True
130,89,0.014962476992144588,0.29055786939358585,0.025317389490450252,810,0,True,0.015683215070042483,909,0,True
131,95,0.016226297590203394,0.30250078503483535,0.01149955699915127,810,0,True,0.012863471806912524,901,0,True
132,105,0.011093797501113776,0.19573492738058848,0.01131106779790583,810,0,True,0.012251308039607502,891,1,True
133,92,0.01868848033049066,0.3225093023804932,0.0194540465715873,810,0,True,0.018522062712737847,904,0,True
134,89,0.0257089069105129,0.1398245453899092,0.02703972001114079,810,0,True,0.025975136058022395,910,0,True
135,110,0.01231602074523932,0.2180950003494971,0.008495712733499947,810,0,True,0.008536613394155354,886,1,True
136,96,0.014698773664041912,0.20922113558620772,0.02404212521027953,810,0,True,0.010377269660916339,902,0,True
137,109,0.03548322915317071,0.2431500510920868,0.027835707026052738,810,0,True,0.033176531829727886,887,0,True
138,118,0.006992245998919922,0.25553657883254116,0.014077318049228484,810,0,True,0.0064323778327874575,880,0,True
139,113,0.02119821054653688,0.23714486565095533,0.0179343854837709,810,0,True,0.019831147749565747,882,0,False
140,111,0.011792014267320199,0.31366765080613457,0.031579619042080447,810,0,True,0.013115910404001774,886,0,False
