seed,Optimizer,Batch Type,Init Type,Estimation Error,Weight Error
45,GD,SGD,sparse,0.05886031758699479,0.4241587250298346
45,GD,SGD,zero,0.05163267690597072,0.2908113469399411
45,GD,full,random,0.06104955684169435,0.253705918014754
45,GD,full,sparse,0.07013107980022219,0.41626624773532955
45,GD,full,zero,0.06295927032454286,0.28932043981506933
45,GD,mini-batch,random,0.06591680815480347,0.2560531492031007
45,GD,mini-batch,sparse,0.07324284264111892,0.4062132162114242
45,GD,mini-batch,zero,0.0672904473958839,0.2934396021004364
45,AdaGrad,SGD,random,0.5748691470012487,1.1829850840238425
45,AdaGrad,SGD,sparse,0.24249055416866064,1.5881676115874057
45,AdaGrad,SGD,zero,0.45088890001705806,0.8340616545598238
45,AdaGrad,full,random,0.2965364003069009,1.0438337627320469
45,AdaGrad,full,sparse,0.13538082666519052,1.094304548371802
45,AdaGrad,full,zero,0.16716256273899208,0.6375010321437427
45,AdaGrad,mini-batch,random,0.3042767582426802,1.0495757020281669
45,AdaGrad,mini-batch,sparse,0.17316074732165773,1.2416101496438425
45,AdaGrad,mini-batch,zero,0.1840939723060183,0.6525095161020139
45,RMSProp,SGD,random,0.018120702813508242,0.14326602357561466
45,RMSProp,SGD,sparse,0.02659246723920157,0.25615657902470157
45,RMSProp,SGD,zero,0.020202974281278558,0.21018431625273587
45,RMSProp,full,random,0.05696369447211332,0.253738828194694
45,RMSProp,full,sparse,0.06620343792690579,0.26992400986427223
45,RMSProp,full,zero,0.05696369447211332,0.253738828194694
45,RMSProp,mini-batch,random,0.0825454851122477,0.30264258582447023
45,RMSProp,mini-batch,sparse,0.08254592873678734,0.30265807104720466
45,RMSProp,mini-batch,zero,0.08254709896335252,0.3026514345137833
45,Adam,SGD,random,0.04331386517832349,0.25494341566254863
45,Adam,SGD,sparse,0.052366731481771484,0.4079926863699487
45,Adam,SGD,zero,0.03811719435916144,0.3056880342356067
45,Adam,full,random,0.061190574845443185,0.2566750935283663
45,Adam,full,sparse,0.061476232044793154,0.26176550996231035
45,Adam,full,zero,0.06147656317509588,0.26177083442856214
45,Adam,mini-batch,random,0.06248689055281143,0.2614021888281935
45,Adam,mini-batch,sparse,0.07222036651522046,0.29335424495653406
45,Adam,mini-batch,zero,0.06759559350066864,0.28149535228553296
46,GD,SGD,random,0.04581050977378908,0.4221641961788865
46,GD,SGD,sparse,0.05179715464546852,0.5935271661075409
46,GD,SGD,zero,0.03681992198302317,0.3708025398119149
46,GD,full,random,0.04165615817746289,0.3514131552842916
46,GD,full,sparse,0.05403502434234491,0.5182891641433709
46,GD,full,zero,0.03742424156157974,0.252817855742071
46,GD,mini-batch,random,0.044137593158166614,0.34768216766942783
46,GD,mini-batch,sparse,0.05553009182493431,0.5095444203345794
46,GD,mini-batch,zero,0.03963850702153656,0.24452140165299197
46,AdaGrad,SGD,random,0.9820729772090336,1.7904856412052734
46,AdaGrad,SGD,sparse,0.4352731172102417,2.2274974879633254
46,AdaGrad,SGD,zero,0.2020827062931721,0.7343187748626396
46,AdaGrad,full,random,0.6708763699553596,1.6856337005872042
46,AdaGrad,full,sparse,0.3070661224139526,1.8699429386505868
46,AdaGrad,full,zero,0.0864506533271287,0.6170174243609153
46,AdaGrad,mini-batch,random,0.6872649914075067,1.6915414823016495
46,AdaGrad,mini-batch,sparse,0.34506499612704217,1.958275977816304
46,AdaGrad,mini-batch,zero,0.09385336703708048,0.622159394406869
46,RMSProp,SGD,random,0.02624289057084871,0.29856432665803867
46,RMSProp,SGD,sparse,0.025824592571949676,0.40845713739022316
46,RMSProp,SGD,zero,0.018105848828906146,0.2500913210952782
46,RMSProp,full,random,0.03861842937354622,0.20519297163053374
46,RMSProp,full,sparse,0.032207897753411326,0.1907590088927
46,RMSProp,full,zero,0.03861842937354621,0.20519297163053374
46,RMSProp,mini-batch,random,0.036068833898356474,0.1965518942851838
46,RMSProp,mini-batch,sparse,0.036068949429476464,0.19655428141791365
46,RMSProp,mini-batch,zero,0.03606912644781268,0.19655972252194484
46,Adam,SGD,random,0.046180526300559854,0.515392963190396
46,Adam,SGD,sparse,0.047647287892135674,0.5419759871014522
46,Adam,SGD,zero,0.03666761344895555,0.377076345420384
46,Adam,full,random,0.035609567156643214,0.21641587396996015
46,Adam,full,sparse,0.03530462465770647,0.19785546593558023
46,Adam,full,zero,0.03530465019323676,0.19785505283004387
46,Adam,mini-batch,random,0.038962324002525243,0.21519847575643583
46,Adam,mini-batch,sparse,0.032210955275511745,0.18090809520907333
46,Adam,mini-batch,zero,0.0330984405303317,0.18079482540261244
47,GD,SGD,random,0.026654170300663686,0.20261917503465507
47,GD,SGD,sparse,0.023287863272984884,0.20880518805518028
47,GD,SGD,zero,0.031545717513523364,0.2902976984215355
47,GD,full,random,0.037328229927554184,0.19843208116502384
47,GD,full,sparse,0.03756403370056318,0.22753371722143953
47,GD,full,zero,0.041134109260547884,0.2900166973573706
47,GD,mini-batch,random,0.04026227406997541,0.20206013531933698
47,GD,mini-batch,sparse,0.0404734562762632,0.23356154043997795
47,GD,mini-batch,zero,0.04449741229659962,0.29393259153474643
47,AdaGrad,SGD,random,1.3962190815339595,1.4395465199765718
47,AdaGrad,SGD,sparse,0.12160579370403468,1.1771895272903636
47,AdaGrad,SGD,zero,0.11449889564626499,0.7227443968692724
47,AdaGrad,full,random,1.000330300817714,1.303605209960148
47,AdaGrad,full,sparse,0.11767255408503016,1.0762072216327496
47,AdaGrad,full,zero,0.06731696982641433,0.5994061147858585
47,AdaGrad,mini-batch,random,1.0181693065991855,1.3096898056367687
47,AdaGrad,mini-batch,sparse,0.12000409246508388,1.098098066193559
47,AdaGrad,mini-batch,zero,0.06898187922229196,0.6135470236244248
47,RMSProp,SGD,random,0.01341462885433214,0.09022121777402205
47,RMSProp,SGD,sparse,0.015165801055899101,0.09015935449835774
47,RMSProp,SGD,zero,0.017040114503620602,0.10425214998357832
47,RMSProp,full,random,0.04116019414754654,0.2196550828322013
47,RMSProp,full,sparse,0.04116019414754654,0.21965508283220134
47,RMSProp,full,zero,0.0344040299273271,0.20517457271559644
47,RMSProp,mini-batch,random,0.03599481584462223,0.22332991917945366
47,RMSProp,mini-batch,sparse,0.035994800432535966,0.22332979315389262
47,RMSProp,mini-batch,zero,0.035995061120713115,0.2233361945630578
47,Adam,SGD,random,0.03389964054784871,0.24045047198051747
47,Adam,SGD,sparse,0.019268142490901193,0.18259147094174955
47,Adam,SGD,zero,0.0399114225529002,0.27934465513739576
47,Adam,full,random,0.03653551465719976,0.18042755147243356
47,Adam,full,sparse,0.03767149137858516,0.21230234141664522
47,Adam,full,zero,0.03767151422947866,0.21230280387619815
47,Adam,mini-batch,random,0.045293765609534346,0.20227973338978025
47,Adam,mini-batch,sparse,0.05375688894385105,0.25045177240989974
47,Adam,mini-batch,zero,0.05397867234716621,0.25199983756332733
48,GD,SGD,random,0.050327542242960877,0.3783708315894299
48,GD,SGD,sparse,0.04978715108685565,0.49233253820046774
48,GD,SGD,zero,0.042929754124558316,0.22169722784052356
48,GD,full,random,0.037384223448377364,0.35374831415614877
48,GD,full,sparse,0.0467309699306795,0.4869426251832949
48,GD,full,zero,0.0301710653783314,0.18575301330335006
48,GD,mini-batch,random,0.03777058257266955,0.35535455067594107
48,GD,mini-batch,sparse,0.04632826324806786,0.4786142105961887
48,GD,mini-batch,zero,0.030385348261060208,0.1892567634723325
48,AdaGrad,SGD,random,1.618332265746154,1.9060667870706327
48,AdaGrad,SGD,sparse,0.3598303596137554,2.087108130946201
48,AdaGrad,SGD,zero,0.07532485005702784,0.4148926189402102
48,AdaGrad,full,random,1.1590580083818536,1.7788922783871397
48,AdaGrad,full,sparse,0.3202189500208487,1.9528213471960862
48,AdaGrad,full,zero,0.036862299139256066,0.3124166440136577
48,AdaGrad,mini-batch,random,1.1847002543798824,1.785055080434679
48,AdaGrad,mini-batch,sparse,0.3237545555153424,1.9612818505680196
48,AdaGrad,mini-batch,zero,0.03779271630660974,0.32536185598508555
48,RMSProp,SGD,random,0.02552463014746156,0.18378952521271605
48,RMSProp,SGD,sparse,0.016288238665352554,0.18961754737465597
48,RMSProp,SGD,zero,0.027310677988363105,0.136834712889574
48,RMSProp,full,random,0.03272205493549666,0.18823914294213784
48,RMSProp,full,sparse,0.027007194487404546,0.17415993115107747
48,RMSProp,full,zero,0.03272205493549666,0.18823914294213784
48,RMSProp,mini-batch,random,0.03559319509005374,0.2117409022163887
48,RMSProp,mini-batch,sparse,0.03559319927573196,0.21174082567634994
48,RMSProp,mini-batch,zero,0.035593163794495876,0.21174012647937354
48,Adam,SGD,random,0.06303087805936142,0.46523258081964625
48,Adam,SGD,sparse,0.04729244461544444,0.3727782234390108
48,Adam,SGD,zero,0.04944508804424254,0.21776146871671123
48,Adam,full,random,0.031245832788707815,0.23017178175212338
48,Adam,full,sparse,0.029755639685451987,0.18105972747535623
48,Adam,full,zero,0.029756191244746346,0.18106028957538783
48,Adam,mini-batch,random,0.03439244297576399,0.25629370694064363
48,Adam,mini-batch,sparse,0.039570823726242634,0.22496903771753438
48,Adam,mini-batch,zero,0.03976847036443753,0.22589508592531835
49,GD,SGD,random,0.09923555460046364,0.3692802882429482
49,GD,SGD,sparse,0.07054466733478773,0.34290682941646056
49,GD,SGD,zero,0.14437506363041022,0.4477744687021023
49,GD,full,random,0.09297244830272722,0.33624917483383254
