seed,rule,k,learning_rate,weight_error,oracle,cycles,clean_total,clean_kept,outliers_left,removed_clean_pos_noise,removed_clean_neg_noise,kept_clean_mean_noise
3,threshold,4.0,0.5,0.012737406126416547,0.011506935332233912,3,895,892,0,3,0,-0.0043054588221419195
4,ratio,2.5,0.01,0.031147263194242287,0.02737253789791194,3,892,810,0,47,35,-0.002398063187174878
4,ratio,2.5,0.1,0.03112532053613398,0.02737253789791194,3,892,810,0,47,35,-0.002398063187174878
4,ratio,2.5,0.5,0.031158318513153038,0.02737253789791194,3,892,810,0,47,35,-0.002398063187174878
4,ratio,3.0,0.01,0.031147263194242287,0.02737253789791194,3,892,810,0,47,35,-0.002398063187174878
4,ratio,3.0,0.1,0.03112532053613398,0.02737253789791194,3,892,810,0,47,35,-0.002398063187174878
4,ratio,3.0,0.5,0.031158318513153038,0.02737253789791194,3,892,810,0,47,35,-0.002398063187174878
4,ratio,4.0,0.01,0.031147263194242287,0.02737253789791194,3,892,810,0,47,35,-0.002398063187174878
4,ratio,4.0,0.1,0.03112532053613398,0.02737253789791194,3,892,810,0,47,35,-0.002398063187174878
4,ratio,4.0,0.5,0.031158318513153038,0.02737253789791194,3,892,810,0,47,35,-0.002398063187174878
4,threshold,2.5,0.01,0.032456937114002896,0.02737253789791194,4,892,713,0,164,15,-0.024519840337808862
4,threshold,2.5,0.1,0.032454716257197404,0.02737253789791194,4,892,713,0,164,15,-0.024519840337808862
4,threshold,2.5,0.5,0.032450009982718686,0.02737253789791194,4,892,713,0,164,15,-0.024519840337808862
4,threshold,3.0,0.01,0.027540010723585022,0.02737253789791194,3,892,823,0,67,2,-0.01173060920517531
4,threshold,3.0,0.1,0.027531551510358798,0.02737253789791194,3,892,823,0,67,2,-0.01173060920517531
4,threshold,3.0,0.5,0.02752740751070488,0.02737253789791194,3,892,823,0,67,2,-0.01173060920517531
4,threshold,4.0,0.01,0.02602683015709252,0.02737253789791194,2,892,889,0,3,0,-0.00034419467503420586
4,threshold,4.0,0.1,0.026062916629219668,0.02737253789791194,2,892,889,0,3,0,-0.00034419467503420586
4,threshold,4.0,0.5,0.026080099067960136,0.02737253789791194,2,892,889,0,3,0,-0.00034419467503420586
5,ratio,2.5,0.01,0.011500846620764007,0.013845341829925544,3,881,810,0,41,30,0.0036212069080014606
5,ratio,2.5,0.1,0.011512274983702907,0.013845341829925544,3,881,810,0,41,30,0.0036212069080014606
5,ratio,2.5,0.5,0.01153968043707264,0.013845341829925544,3,881,810,0,41,30,0.0036212069080014606
5,ratio,3.0,0.01,0.011500846620764007,0.013845341829925544,3,881,810,0,41,30,0.0036212069080014606
5,ratio,3.0,0.1,0.011512274983702907,0.013845341829925544,3,881,810,0,41,30,0.0036212069080014606
5,ratio,3.0,0.5,0.01153968043707264,0.013845341829925544,3,881,810,0,41,30,0.0036212069080014606
5,ratio,4.0,0.01,0.011500846620764007,0.013845341829925544,3,881,810,0,41,30,0.0036212069080014606
5,ratio,4.0,0.1,0.011512274983702907,0.013845341829925544,3,881,810,0,41,30,0.0036212069080014606
5,ratio,4.0,0.5,0.01153968043707264,0.013845341829925544,3,881,810,0,41,30,0.0036212069080014606
5,threshold,2.5,0.01,0.00602067763122635,0.013845341829925544,4,881,835,0,34,12,0.0012884983236818796
5,threshold,2.5,0.1,0.0060062632409202754,0.013845341829925544,4,881,835,0,34,12,0.0012884983236818796
5,threshold,2.5,0.5,0.00598316190871612,0.013845341829925544,4,881,835,0,34,12,0.0012884983236818796
5,threshold,3.0,0.01,0.012784780923228474,0.013845341829925544,3,881,873,1,6,2,0.004293132601153808
5,threshold,3.0,0.1,0.012822915100134244,0.013845341829925544,3,881,873,1,6,2,0.004293132601153808
5,threshold,3.0,0.5,0.01279087926995301,0.013845341829925544,3,881,873,1,6,2,0.004293132601153808
5,threshold,4.0,0.01,0.014276622769438465,0.013845341829925544,3,881,880,4,1,0,0.0050581533222684456
5,threshold,4.0,0.1,0.014294960748251638,0.013845341829925544,3,881,880,4,1,0,0.0050581533222684456
5,threshold,4.0,0.5,0.014317151906075614,0.013845341829925544,3,881,880,4,1,0,0.0050581533222684456
6,ratio,2.5,0.01,0.014402394096505788,0.020566573628002686,3,903,810,0,43,50,0.004725823071770413
6,ratio,2.5,0.1,0.01448239058733369,0.020566573628002686,3,903,810,0,43,50,0.004725823071770413
6,ratio,2.5,0.5,0.014427178448811884,0.020566573628002686,3,903,810,0,43,50,0.004725823071770413
6,ratio,3.0,0.01,0.014402394096505788,0.020566573628002686,3,903,810,0,43,50,0.004725823071770413
6,ratio,3.0,0.1,0.01448239058733369,0.020566573628002686,3,903,810,0,43,50,0.004725823071770413
