seed,optimizer,batch,init,lr,weight_error,dist_to_star
1,AdaGrad,full,sparse,0.1,0.02982856507662624,0.0019111707369661218
1,AdaGrad,mini-batch,random,0.1,0.22504870018522508,0.23707181963350193
1,AdaGrad,mini-batch,zero,0.1,0.03025658686955327,0.004604607750768269
1,AdaGrad,mini-batch,sparse,0.1,0.029759154885151205,0.006807253235865413
1,AdaGrad,SGD,random,0.1,0.7353960940806068,0.7495032111622334
1,AdaGrad,SGD,zero,0.1,0.04647592272216956,0.03647760366147229
1,AdaGrad,SGD,sparse,0.1,0.4640791271408884,0.475052929600398
1,RMSProp,full,random,0.1,0.10555485639500849,0.09999999085892829
1,RMSProp,full,zero,0.1,0.1055548563950086,0.0999999908589284
1,RMSProp,full,sparse,0.1,0.10349484954252315,0.09999999085892654
1,RMSProp,mini-batch,random,0.1,0.10583719718020969,0.09810873176173601
1,RMSProp,mini-batch,zero,0.1,0.10583719718020956,0.09810873176173582
1,RMSProp,mini-batch,sparse,0.1,0.10583719718020924,0.09810873176173544
1,RMSProp,SGD,random,0.1,0.1436063307226491,0.16732316677950368
1,RMSProp,SGD,zero,0.1,0.18155231708046196,0.19188668538698878
1,RMSProp,SGD,sparse,0.1,0.19295710096465113,0.19390420324522692
1,Adam,full,random,0.1,0.03043858773686161,9.899056296961976e-16
1,Adam,full,zero,0.1,0.030438587736861727,1.072098405376252e-15
1,Adam,full,sparse,0.1,0.0304385877368618,1.20485755699337e-15
1,Adam,mini-batch,random,0.1,0.05125743710196765,0.04367730803921857
1,Adam,mini-batch,zero,0.1,0.04953019634018274,0.038726539930678226
1,Adam,mini-batch,sparse,0.1,0.0437815233586154,0.04059276683734478
1,Adam,SGD,random,0.1,0.1189686875139056,0.11975800492367814
1,Adam,SGD,zero,0.1,0.09974643260654632,0.11939521333420236
1,Adam,SGD,sparse,0.1,0.19973124605620293,0.19831154284942076
2,GD,full,random,0.01,0.33287726836288745,0.3298035676971445
2,GD,full,zero,0.01,0.09038491963918069,0.08535943081946293
2,GD,full,sparse,0.01,0.4196418772979361,0.4155325956662642
2,GD,mini-batch,random,0.01,0.32731934337648744,0.32428395467598187
2,GD,mini-batch,zero,0.01,0.09239918032191326,0.08750198168558877
2,GD,mini-batch,sparse,0.01,0.4189040980014454,0.41481841061232705
2,GD,SGD,random,0.01,0.36127929937388625,0.35847462391277496
2,GD,SGD,zero,0.01,0.09124494917364538,0.08568962695304326
2,GD,SGD,sparse,0.01,0.42472765134986806,0.4206884815027657
2,AdaGrad,full,random,0.01,1.8216836521426538,1.8204829172169148
2,AdaGrad,full,zero,0.01,0.4989435083302058,0.492870171950356
2,AdaGrad,full,sparse,0.01,1.7058348506757914,1.7023669414986313
2,AdaGrad,mini-batch,random,0.01,1.8290872864381902,1.8279271847730953
2,AdaGrad,mini-batch,zero,0.01,0.5000959033226182,0.4940303265554186
2,AdaGrad,mini-batch,sparse,0.01,1.765303808216754,1.7617253100127435
2,AdaGrad,SGD,random,0.01,1.9194046126329785,1.918748233550782
2,AdaGrad,SGD,zero,0.01,0.5529400140995738,0.5466429758009104
2,AdaGrad,SGD,sparse,0.01,2.129344638797548,2.1257321774369164
2,RMSProp,full,random,0.01,0.008466018167698234,0.009999990562969158
2,RMSProp,full,zero,0.01,0.016408637402317346,0.009999990562970311
2,RMSProp,full,sparse,0.01,0.01640863740231734,0.009999990562970297
2,RMSProp,mini-batch,random,0.01,0.021650445492622253,0.0227127851697715
2,RMSProp,mini-batch,zero,0.01,0.021650445492622253,0.0227127851697715
2,RMSProp,mini-batch,sparse,0.01,0.021650445492622253,0.0227127851697715
2,RMSProp,SGD,random,0.01,0.04016407226912309,0.042570038400073576
2,RMSProp,SGD,zero,0.01,0.04187296805814682,0.03494621776509985
2,RMSProp,SGD,sparse,0.01,0.029324671120500218,0.029537727585454317
2,Adam,full,random,0.01,0.03605387644045713,0.03160762372785156
