seed,Optimizer,Batch Type,Init Type,Estimation Error,Weight Error
147,RMSProp,full,sparse,0.03703599316265857,0.20851468223479022
147,RMSProp,full,zero,0.030912473633892414,0.19467205801771675
147,RMSProp,mini-batch,random,0.03651731203177204,0.2458931693963452
147,RMSProp,mini-batch,sparse,0.03651740978188718,0.24589625653989258
147,RMSProp,mini-batch,zero,0.036517364728585036,0.2458951945291239
147,Adam,SGD,random,0.20456124490775204,0.50746713622612
147,Adam,SGD,sparse,0.22717667703698174,0.5237261543308604
147,Adam,SGD,zero,0.17154791152640764,0.40674971956612554
147,Adam,full,random,0.034271287389106064,0.21649554056341191
147,Adam,full,sparse,0.03386815718143567,0.2014641213589169
147,Adam,full,zero,0.03386815972431872,0.20146419682474073
147,Adam,mini-batch,random,0.03283568079166403,0.22489528242728382
147,Adam,mini-batch,sparse,0.03182653793572461,0.22043946316057164
147,Adam,mini-batch,zero,0.031007128025501554,0.21774096158253012
148,GD,SGD,random,0.036460537177802954,0.3403309325035177
148,GD,SGD,sparse,0.07377899931296245,0.5599401760335052
148,GD,SGD,zero,0.04058504543226405,0.2676018942399902
148,GD,full,random,0.06721530606067781,0.4220845819277945
148,GD,full,sparse,0.07772222440912493,0.5594567235960133
148,GD,full,zero,0.05995677669428603,0.3216037457011741
148,GD,mini-batch,random,0.07583557449203282,0.4561436124692924
148,GD,mini-batch,sparse,0.08687696975362183,0.5913429657534269
148,GD,mini-batch,zero,0.06716976899464379,0.3473033876855226
148,AdaGrad,SGD,random,0.8233168174017698,1.7542383227762064
148,AdaGrad,SGD,sparse,0.3639837993944266,2.0194942623108374
148,AdaGrad,SGD,zero,0.3576570608637177,0.8905374850491096
148,AdaGrad,full,random,0.5140473547382421,1.6926930287679347
148,AdaGrad,full,sparse,0.22198698039155193,1.5429947926284402
148,AdaGrad,full,zero,0.15306195539908526,0.7424667654799965
148,AdaGrad,mini-batch,random,0.5254576238137908,1.6955385928522289
148,AdaGrad,mini-batch,sparse,0.28540769127479615,1.6982285138483826
148,AdaGrad,mini-batch,zero,0.16342270746898935,0.7486943690588488
148,RMSProp,SGD,random,0.01478017875465579,0.14372782392706387
148,RMSProp,SGD,sparse,0.028977072691049908,0.3287557231543814
148,RMSProp,SGD,zero,0.015661721982895407,0.12374744038079778
148,RMSProp,full,random,0.061169869040859935,0.2656861274434187
148,RMSProp,full,sparse,0.05247795107458016,0.2496314756303466
148,RMSProp,full,zero,0.061169869040859935,0.2656861274434187
148,RMSProp,mini-batch,random,0.07765152901451997,0.3219878341138793
148,RMSProp,mini-batch,sparse,0.07764764329466153,0.3219306467011019
148,RMSProp,mini-batch,zero,0.0776480299887209,0.3219392972122377
148,Adam,SGD,random,0.04161924103991058,0.37639771880937034
148,Adam,SGD,sparse,0.05936448367909998,0.47009362826095347
148,Adam,SGD,zero,0.03565644526765702,0.24354702277037296
148,Adam,full,random,0.05704091464738761,0.2653339319117159
148,Adam,full,sparse,0.05671848683596093,0.257589785675914
148,Adam,full,zero,0.056718569067258445,0.2575912306553392
148,Adam,mini-batch,random,0.07160674750283719,0.314396558611681
148,Adam,mini-batch,sparse,0.09049335797715766,0.33208514882777956
148,Adam,mini-batch,zero,0.08626264312980092,0.32346321013033924
149,GD,SGD,random,0.038931735134865,0.3843036174758272
149,GD,SGD,sparse,0.05605277410039326,0.4143926902024603
149,GD,SGD,zero,0.03244320330451541,0.20645529981348346
149,GD,full,random,0.0734027950536491,0.5137337276099785
149,GD,full,sparse,0.0760380218708072,0.5304871608690642
149,GD,full,zero,0.0578916059167584,0.28888476467957874
149,GD,mini-batch,random,0.07750834121022174,0.5136638619463326
149,GD,mini-batch,sparse,0.08077191650861386,0.5417095183855438
